Easting,Northing,Elevation
525659.5426072870,5.253200876881E+06,60.40734032
525664.0472494580,5.253204099805E+06,60.33507558
525668.5518916290,5.253207322728E+06,60.42426175
525673.0565338000,5.253210545652E+06,60.67497459
525677.5611759710,5.253213768576E+06,61.08742711
525632.5147542600,5.253180364340E+06,63.18399152
525637.0193964310,5.253183613087E+06,62.34032656
525641.5240386020,5.253186861834E+06,61.59775817
525646.0286807730,5.253190110580E+06,60.95604521
525650.5333229440,5.253193359327E+06,60.41497933
525655.0379651160,5.253196608074E+06,59.97438483
525659.5426072870,5.253199856821E+06,59.63411865
525664.0472494580,5.253203105567E+06,59.3940703
525668.5518916290,5.253206354314E+06,59.25416184
525673.0565338000,5.253209603061E+06,59.21434783
525677.5611759710,5.253212851808E+06,59.27461535
525632.5147542600,5.253179484727E+06,64.41665519
525637.0193964310,5.253182713550E+06,63.30041554
525641.5240386020,5.253185942373E+06,62.35262217
525646.0286807730,5.253189171197E+06,61.57242896
525650.5333229440,5.253192400020E+06,60.95913942
525655.0379651150,5.253195628844E+06,60.51220608
525659.5426072870,5.253198857667E+06,60.23122994
525664.0472494580,5.253202086490E+06,60.11596017
525668.5518916290,5.253205315314E+06,60.16629387
525673.0565338000,5.253208544137E+06,60.38227598
525677.5611759710,5.253211772960E+06,60.7640993
525855.1537999320,5.253277427837E+06,52.56636237
525859.5043785300,5.253280693203E+06,51.70575326
525863.8549571290,5.253283958569E+06,51.01095369
525868.2055357270,5.253287223934E+06,50.48133107
525872.5561143250,5.253290489300E+06,50.11640323
525876.9066929240,5.253293754666E+06,49.9158379
525881.2572715220,5.253297020032E+06,49.87945249
525885.6078501200,5.253300285398E+06,50.00721387
525889.9584287190,5.253303550764E+06,50.29923837
525894.3090073170,5.253306816130E+06,50.75579184
525898.6595859150,5.253310081496E+06,51.37728996
525855.1537999320,5.253276678970E+06,52.6543081
525859.5043785300,5.253279942771E+06,51.74335346
525863.8549571280,5.253283206571E+06,51.00680136
525868.2055357270,5.253286470372E+06,50.44391146
525872.5561143250,5.253289734172E+06,50.05411799
525876.9066929230,5.253292997973E+06,49.83702915
525881.2572715220,5.253296261773E+06,49.79242674
525885.6078501200,5.253299525574E+06,49.92026592
525889.9584287180,5.253302789374E+06,50.22067519
525894.3090073170,5.253306053175E+06,50.69395651
525898.6595859150,5.253309316975E+06,51.34058558
525855.1537999320,5.253277336626E+06,52.08560114
525859.5043785300,5.253281307505E+06,51.62252411
525863.8549571280,5.253285278384E+06,51.26217606
525868.2055357270,5.253289249262E+06,51.0044479
525872.5561143250,5.253293220141E+06,50.84926163
525876.9066929230,5.253297191020E+06,50.79657027
525881.2572715220,5.253301161899E+06,50.84635788
525885.6078501200,5.253305132778E+06,50.99863953
525889.9584287180,5.253309103656E+06,51.2534613
525894.3090073170,5.253313074535E+06,51.61090034
525898.6595859150,5.253317045414E+06,52.07106482
525855.1537999320,5.253275987239E+06,52.63681353
525859.5043785310,5.253279256792E+06,51.73117716
525863.8549571290,5.253282526345E+06,50.9967876
525868.2055357270,5.253285795898E+06,50.43293389
525872.5561143260,5.253289065450E+06,50.03907017
525876.9066929240,5.253292335003E+06,49.81481516
525881.2572715220,5.253295604556E+06,49.75995174
525885.6078501210,5.253298874109E+06,49.87442681
525889.9584287190,5.253302143662E+06,50.15835119
525894.3090073170,5.253305413215E+06,50.61199974
525898.6595859150,5.253308682767E+06,51.23581163
525549.0841274590,5.253113354800E+06,70.14795401
525553.0676561630,5.253116864051E+06,69.26495
525557.0511848670,5.253120373302E+06,68.51028448
525561.0347135720,5.253123882553E+06,67.88352667
525565.0182422760,5.253127391804E+06,67.38431883
525569.0017709800,5.253130901055E+06,67.01237599
525572.9852996850,5.253134410307E+06,66.76748584
525576.9688283890,5.253137919558E+06,66.64950861
525580.9523570930,5.253141428809E+06,66.65837695
525584.9358857980,5.253144938060E+06,66.79409591
525588.9194145020,5.253148447311E+06,67.05674298
525549.0841274580,5.253114946167E+06,69.7797256
525553.0676561620,5.253118586658E+06,68.984203
525557.0511848670,5.253122227148E+06,68.3078966
525561.0347135710,5.253125867639E+06,67.75048236
525565.0182422750,5.253129508129E+06,67.31169321
525569.0017709800,5.253133148620E+06,66.99131894
525572.9852996840,5.253136789110E+06,66.78920604
525576.9688283890,5.253140429601E+06,66.70525769
525580.9523570930,5.253144070091E+06,66.73943365
525584.9358857970,5.253147710582E+06,66.89175032
525588.9194145020,5.253151351072E+06,67.16228065
525549.0841274600,5.253113923335E+06,66.68338988
525553.0676561640,5.253117487272E+06,65.71299674
525557.0511848680,5.253121051209E+06,64.89256967
525561.0347135730,5.253124615145E+06,64.22148052
525565.0182422770,5.253128179082E+06,63.69921546
525569.0017709810,5.253131743019E+06,63.32537463
525572.9852996860,5.253135306956E+06,63.09967179
525576.9688283900,5.253138870892E+06,63.02193414
525580.9523570940,5.253142434829E+06,63.09210215
525584.9358857990,5.253145998766E+06,63.31022956
525588.9194145030,5.253149562703E+06,63.67648336
525549.0841274580,5.253114075306E+06,69.95863223
525553.0676561630,5.253117662130E+06,69.15147624
525557.0511848670,5.253121248954E+06,68.46354039
525561.0347135710,5.253124835778E+06,67.8944909
525565.0182422760,5.253128422602E+06,67.44405164
525569.0017709800,5.253132009426E+06,67.11200408
525572.9852996840,5.253135596250E+06,66.8981871
525576.9688283890,5.253139183074E+06,66.80249696
525580.9523570930,5.253142769898E+06,66.82488722
525584.9358857970,5.253146356722E+06,66.96536875
525588.9194145020,5.253149943546E+06,67.22400971
525549.0841274580,5.253114271364E+06,67.55900017
525553.0676561630,5.253117878673E+06,66.67849314
525557.0511848670,5.253121485982E+06,65.94881841
525561.0347135710,5.253125093291E+06,65.36941384
525565.0182422760,5.253128700601E+06,64.93983306
525569.0017709800,5.253132307910E+06,64.65974514
525572.9852996840,5.253135915219E+06,64.52893429
525576.9688283890,5.253139522529E+06,64.54729974
525580.9523570930,5.253143129838E+06,64.71485564
525584.9358857970,5.253146737147E+06,65.03173107
525588.9194145020,5.253150344456E+06,65.49817016
525549.0841274590,5.253113492483E+06,67.65563064
525553.0676561630,5.253117093582E+06,66.79346818
525557.0511848680,5.253120694680E+06,66.07484145
525561.0347135720,5.253124295778E+06,65.49924794
525565.0182422770,5.253127896877E+06,65.06628515
525569.0017709810,5.253131497975E+06,64.77565032
525572.9852996850,5.253135099073E+06,64.62714022
525576.9688283900,5.253138700172E+06,64.62065099
525580.9523570940,5.253142301270E+06,64.75617811
525584.9358857980,5.253145902368E+06,65.03381634
525588.9194145030,5.253149503467E+06,65.45375982
525549.0841274590,5.253112753143E+06,67.80996293
525553.0676561640,5.253116357801E+06,66.91618551
525557.0511848680,5.253119962459E+06,66.16834624
525561.0347135720,5.253123567117E+06,65.56590591
525565.0182422770,5.253127171775E+06,65.1084301
525569.0017709810,5.253130776433E+06,64.79558897
525572.9852996860,5.253134381091E+06,64.62715694
525576.9688283900,5.253137985749E+06,64.60301256
